id|name|country_code|imdb_id|name_pcode_nf|name_pcode_sf|md5sum
34634|Comfilm.de|[de]||C5145|C5145|103fec65d8a8129bfea07e4a98dfa0e5
63635|Dusty Nose Productions|[us]||D2352|D2352|7a9718e93925d720de807fe027665fbe
35051|WTTW National Productions|[us]||W3535|W3535|002eb2b89338ca14386743e11e7a425f
23380|Film House|[us]||F452|F452|20c818c9a457fa6e902ff4b0d406525e
31373|AVI Group|[us]||A1261|A1261|d90465c48c1e51f556562ad903aacdfa
6024|GodZone Ministry|[us]||G3252|G3252|fcb66476f8f75f6cc075e3a362167a01
33177|Elvira Merchandizing|[us]||E4165|E4165|3c2c30e6bf6589748445621378c6eb67
66924|G.P. Films|[gb]||G1452|G1452|c538eda8ca2e7eeacd4350df5e80372b
61979|Sax Editore|[it]||S236|S2363|6afc5715399d8a111c596732f4743ea9
9189|Visual Edge Entertainment|[us]||V2432|V2432|95249ba76b6cdaa7fb710ce20ed09436
8495|AXN White|[es]||A253|A2532|a9f8cf126bab47938f41facbaea8d74d
27332|Black Widow Media|[us]||B4235|B4235|76b77c9ffe6d1884e44fa692eaa5dece
23574|Pier Six Productions|[us]||P6216|P6216|79399675ad84c4fdd7f250eb67f49544
68847|PR Productions|[fi]||P6163|P6163|9ac1d06c825a7ca26b7b6c15bf2df9df
34224|The Mummy Strikes|[us]||T5236|T5236|d3b6cfc15976a9c4baebbb7b1db16bd8
56896|Little Wonder Productions|[gb]||L3453|L3453|ea681428ec203208b98a9709500ad04b
45375|Buena Vista International Film Production France|[fr]||B5123|B5123|3d877610178dde125da5afd28f2439a5
56215|Estonian Film Foundation|[ee]||E2351|E2351|69ac55342ead3ea6bb0bb0c88d203182
47174|Sree Ram Debji Art|[in]||S6531|S6531|11f0c51655cbc778933ff752a93c77ee
20219|Marion Knott Studios|[us]||M6525|M6525|e0b34c9f1d46ee5cd3d823a4a685e980
62337|EastAsiaSoft|[hk]||E2321|E2321|7a841323cb9fcfd38b39979a1f375592
30818|Channel 2020|[gb]||C54|C5421|eefa3cd3941d2de68d2199799bda169d
