id|movie_id|info_type_id|info|note
1|2|99|1000000103|
2|2|100|53|
3|2|101|4|
4|11|99|1..1..3.11|
5|11|100|6|
6|11|101|6.3|
7|24|99|1.11.1...4|
8|24|100|7|
9|24|101|3.3|
10|50|99|0000011112|
11|50|100|3030|
12|50|101|6|
13|51|99|00.0012201|
14|51|100|55|
15|51|101|6.8|
16|52|99|0..0012201|
17|52|100|43|
18|52|101|6.7|
19|53|99|0..0011111|
20|53|100|41|
21|53|101|6.5|
22|54|99|0.0.012101|
23|54|100|48|
24|54|101|6.9|
25|55|99|0...013101|
26|55|100|39|
27|55|101|6.9|
28|56|99|0.00012102|
29|56|100|42|
30|56|101|6.5|
31|57|99|00.0022111|
32|57|100|40|
33|57|101|6.3|
34|58|99|0..0013101|
35|58|100|33|
36|58|101|6.4|
37|59|99|0..0012101|
38|59|100|44|
39|59|101|6.4|
40|60|99|0.0.102202|
41|60|100|49|
42|60|101|7|
43|61|99|0000221101|
44|61|100|103|
45|61|101|5.9|
46|62|99|0..0012111|
47|62|100|42|
48|62|101|6.8|
49|63|99|0..0012011|
50|63|100|41|
51|63|101|6.5|
52|64|99|0.00021101|
53|64|100|48|
54|64|101|6.6|
55|65|99|0.00013201|
56|65|100|36|
57|65|101|6.5|
58|66|99|0...002212|
59|66|100|42|
60|66|101|6.8|
61|67|99|0.00111101|
62|67|100|68|
63|67|101|6.3|
64|68|99|0000012111|
65|68|100|50|
66|68|101|6.2|
67|69|99|2...1.2002|
68|69|100|13|
69|69|101|3.3|
70|82|99|00..2.2.03|
71|82|100|13|
72|82|101|5.8|
73|85|99|....021201|
74|85|100|12|
75|85|101|6.9|
76|86|99|2..10.0021|
77|86|100|13|
78|86|101|5.7|
79|106|99|.0...31003|
80|106|100|13|
81|106|101|6.5|
82|114|99|40010....3|
83|114|100|22|
84|114|101|2.3|
85|118|99|2000110002|
86|118|100|136|
87|118|101|6|
88|196|99|3000000.03|
89|196|100|45|
90|196|101|2|
91|211|99|..21.0.003|
92|211|100|13|
93|211|101|4.4|
94|228|99|00..1.0122|
95|228|100|17|
96|228|101|7.6|
97|272|99|..1.1.2003|
98|272|100|13|
99|272|101|5.6|
100|284|99|0000000124|
