id|movie_id|linked_movie_id|link_type_id
1|2|619801|6
2|50|1450538|10
3|50|257907|6
4|50|260637|6
5|50|766538|6
6|50|1102086|6
7|50|1303972|6
8|50|1425713|6
9|50|2342274|6
10|50|825167|8
11|53|1605183|5
12|53|2221955|5
13|53|670713|7
14|54|329187|5
15|55|1365902|5
16|57|2264395|5
17|58|2310522|5
18|59|572671|5
19|60|550482|5
20|64|529100|5
21|64|2447271|5
22|85|1946415|6
23|114|870705|13
24|118|764247|6
25|118|1834714|6
26|272|1719483|6
27|284|255424|10
28|284|327865|10
29|284|1423039|10
30|284|1611167|10
31|284|1952862|10
32|284|2002506|10
33|284|2153674|10
34|284|2454886|10
35|284|2371032|10
36|284|2496495|10
37|284|2514007|10
38|284|2348802|2
39|284|2407485|2
40|284|20479|6
41|284|185796|6
42|284|255424|6
43|284|542794|6
44|284|571360|6
45|284|968002|6
46|284|1054840|6
47|284|1439701|6
48|284|1465238|6
49|284|1648738|6
50|284|1654169|6
51|284|1783935|6
52|284|1952862|6
53|284|2407485|6
54|284|2423216|6
55|284|1633021|12
56|284|473276|8
57|284|786379|8
58|287|2197518|5
59|288|2407485|10
60|288|2373344|5
61|324|2216504|5
62|334|2407485|10
63|343|2407485|10
64|348|2407485|10
65|351|1330115|5
66|354|2407485|10
67|356|1745745|5
68|356|1901335|5
69|358|2407485|10
70|358|2407485|6
71|358|2374603|7
72|363|1745745|5
73|363|2379257|5
74|366|2407485|10
75|366|2407485|6
76|371|2021013|1
77|371|1866067|6
78|415|1885005|6
79|581|2431770|6
80|587|2216845|5
81|596|468938|6
82|596|1304949|6
83|596|1582586|6
84|599|165567|5
85|614|2310522|5
86|619|865520|5
87|619|1265371|5
88|619|2248081|5
89|619|2248100|5
90|619|2248101|5
91|620|1900233|5
92|622|848623|5
93|622|1295942|5
94|622|1938935|5
95|633|304077|5
96|633|627961|5
97|633|629027|5
98|633|1098074|5
99|633|1134529|5
100|651|685913|5
